	vocation	link	min_salary	max_salary	currency	site_from
688	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49842709?from=vacancy_search_list&query=Python	50000	50000	руб.	https://hh.ru
689	Junior backend-разработчик (python)	https://irkutsk.hh.ru/vacancy/49217698?from=vacancy_search_list&query=Python	80000	80000	руб.	https://hh.ru
690	Python Developer (стажер)	https://irkutsk.hh.ru/vacancy/49824875?from=vacancy_search_list&query=Python				https://hh.ru
691	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49740498?from=vacancy_search_list&query=Python	40000	40000	руб.	https://hh.ru
692	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/49789667?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
693	Python Developer	https://irkutsk.hh.ru/vacancy/49478393?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
694	Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчтик python(удаленно)	https://irkutsk.hh.ru/vacancy/48457284?from=vacancy_search_list&query=Python	600000	600000	руб.	https://hh.ru
695	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/48969346?from=vacancy_search_list&query=Python				https://hh.ru
696	Junior Python Developer	https://irkutsk.hh.ru/vacancy/49783919?from=vacancy_search_list&query=Python				https://hh.ru
697	Python разработчик	https://irkutsk.hh.ru/vacancy/49590587?from=vacancy_search_list&query=Python	380000	380000	руб.	https://hh.ru
698	Программист Python (телеграм бот)	https://irkutsk.hh.ru/vacancy/49805012?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
699	Разработчик Python	https://irkutsk.hh.ru/vacancy/49793402?from=vacancy_search_list&query=Python	100000	100000	руб.	https://hh.ru
700	Разработчик Python	https://irkutsk.hh.ru/vacancy/49041173?from=vacancy_search_list&query=Python	187000	187000	руб.	https://hh.ru
701	DevOps инженер (Bash, Python, AWS/ GCP)	https://irkutsk.hh.ru/vacancy/49041322?from=vacancy_search_list&query=Python	160000	160000	руб.	https://hh.ru
702	Data Engineer	https://irkutsk.hh.ru/vacancy/49758597?from=vacancy_search_list&query=Python				https://hh.ru
703	Data scientist (Computer Vision)	https://irkutsk.hh.ru/vacancy/49711022?from=vacancy_search_list&query=Python	230000	230000	руб.	https://hh.ru
704	Web-программист Python (Middle/Senior)	https://irkutsk.hh.ru/vacancy/47228261?from=vacancy_search_list&query=Python	200000	200000	руб.	https://hh.ru
705	Data Scientist	https://irkutsk.hh.ru/vacancy/47377173?from=vacancy_search_list&query=Python				https://hh.ru
706	Junior Data Engineer (Python)	https://irkutsk.hh.ru/vacancy/49832475?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
707	Python разработчик junior	https://irkutsk.hh.ru/vacancy/49706812?from=vacancy_search_list&query=Python	35000	35000	руб.	https://hh.ru
708	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49842709?from=vacancy_search_list&query=Python	50000	50000	руб.	https://hh.ru
709	Junior backend-разработчик (python)	https://irkutsk.hh.ru/vacancy/49217698?from=vacancy_search_list&query=Python	80000	80000	руб.	https://hh.ru
710	Python Developer (стажер)	https://irkutsk.hh.ru/vacancy/49824875?from=vacancy_search_list&query=Python				https://hh.ru
711	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49740498?from=vacancy_search_list&query=Python	40000	40000	руб.	https://hh.ru
712	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/49789667?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
713	Python Developer	https://irkutsk.hh.ru/vacancy/49478393?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
714	Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчтик python(удаленно)	https://irkutsk.hh.ru/vacancy/48457284?from=vacancy_search_list&query=Python	600000	600000	руб.	https://hh.ru
715	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/48969346?from=vacancy_search_list&query=Python				https://hh.ru
716	Junior Python Developer	https://irkutsk.hh.ru/vacancy/49783919?from=vacancy_search_list&query=Python				https://hh.ru
717	Python разработчик	https://irkutsk.hh.ru/vacancy/49590587?from=vacancy_search_list&query=Python	380000	380000	руб.	https://hh.ru
718	Программист Python (телеграм бот)	https://irkutsk.hh.ru/vacancy/49805012?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
719	Разработчик Python	https://irkutsk.hh.ru/vacancy/49793402?from=vacancy_search_list&query=Python	100000	100000	руб.	https://hh.ru
720	Разработчик Python	https://irkutsk.hh.ru/vacancy/49041173?from=vacancy_search_list&query=Python	187000	187000	руб.	https://hh.ru
721	DevOps инженер (Bash, Python, AWS/ GCP)	https://irkutsk.hh.ru/vacancy/49041322?from=vacancy_search_list&query=Python	160000	160000	руб.	https://hh.ru
